FLIGHT_MONTH,YEAR,MONTH,STATE_NAME,STATE_CODE,CO2_QTY_TONNES,TF,NOTE
2025-08-01,2025,8,GERMANY,ED,2642462.02626,94797,FALSE
2025-08-01,2025,8,GREECE,LG,822587.64334,48704,FALSE
2025-08-01,2025,8,HUNGARY,LH,160958.83246,6763,FALSE
2025-08-01,2025,8,ICELAND,BI,67488.72972,2812,FALSE
2025-08-01,2025,8,IRELAND,EI,356776.99074,15717,FALSE
2025-08-01,2025,8,ITALY,LI,1708184.33568,92584,FALSE
2025-08-01,2025,8,KOSOVO,BK,25117.46224,1683,FALSE
2025-08-01,2025,8,LATVIA,EV,37984.30068,2976,FALSE
2025-08-01,2025,8,LITHUANIA,EY,39162.984599999996,3000,FALSE
2025-08-01,2025,8,LUXEMBOURG,EL,161963.3048,3212,FALSE
2025-08-01,2025,8,MALTA,LM,57380.81674,3773,FALSE
2025-08-01,2025,8,"MOLDOVA, REPUBLIC OF",LU,41495.74378,2568,FALSE
2025-08-01,2025,8,MONACO,LN,35.57212,58,FALSE
2025-08-01,2025,8,MONTENEGRO,LY,25555.95574,2192,FALSE
2025-08-01,2025,8,NETHERLANDS,EH,967807.85916,29722,FALSE
2025-08-01,2025,8,NORTH MACEDONIA,LW,17176.09694,1344,FALSE
2025-08-01,2025,8,NORWAY,EN,265631.84506,29863,TRUE
2025-08-01,2025,8,POLAND,EP,447071.16226,27595,FALSE
2025-08-01,2025,8,PORTUGAL,LP,599909.8734,26813,TRUE
2025-08-01,2025,8,ROMANIA,LR,165539.78792,11554,FALSE
2025-08-01,2025,8,SERBIA,LY,66101.73748,4968,FALSE
2025-08-01,2025,8,SLOVAKIA,LZ,27222.63518,2162,FALSE
2025-08-01,2025,8,SLOVENIA,LJ,11290.79476,1380,FALSE
2025-08-01,2025,8,SPAIN,LE,2081028.26508,96962,FALSE
2025-08-01,2025,8,SWEDEN,ES,215515.19756,17176,FALSE
2025-08-01,2025,8,SWITZERLAND,LS,542612.01616,22738,FALSE
2025-08-01,2025,8,TÜRKIYE,LT,2142543.25064,82760,FALSE
2025-08-01,2025,8,UNITED KINGDOM,EG,3425940.67084,110797,TRUE
2025-09-01,2025,9,ALBANIA,LA,48776.01246,3531,FALSE
2025-09-01,2025,9,ARMENIA,UD,45134.71742,1990,FALSE
2025-09-01,2025,9,AUSTRIA,LO,276817.53014,15644,FALSE
2025-09-01,2025,9,BELGIUM,EB,545798.34994,14881,FALSE
2025-09-01,2025,9,BOSNIA AND HERZEGOVINA,LQ,15738.00974,1356,FALSE
2025-09-01,2025,9,BULGARIA,LB,76437.27552,5008,FALSE
2025-09-01,2025,9,CANARY ISLANDS,GC,288862.09246,18815,FALSE
2025-09-01,2025,9,CROATIA,LD,100826.73806,8556,FALSE
2025-09-01,2025,9,CYPRUS,LC,119628.12184,5446,FALSE
2025-09-01,2025,9,CZECHIA,LK,148721.77202,8811,FALSE
2025-09-01,2025,9,DENMARK,EK,278522.76148,16297,TRUE
2025-09-01,2025,9,ESTONIA,EE,21285.62132,2062,FALSE
2025-09-01,2025,9,FINLAND,EF,188942.3061,8887,FALSE
2025-09-01,2025,9,FRANCE,LF,1932113.91152,84281,FALSE
2025-09-01,2025,9,GEORGIA,UG,85303.33424,3554,FALSE
2025-09-01,2025,9,GERMANY,ED,2571008.68908,95905,FALSE
2025-09-01,2025,9,GREECE,LG,701789.53072,41681,FALSE
2025-09-01,2025,9,HUNGARY,LH,161849.78572,6668,FALSE
2025-09-01,2025,9,ICELAND,BI,53495.06,2197,FALSE
2025-09-01,2025,9,IRELAND,EI,342683.33,15118,FALSE
2025-09-01,2025,9,ITALY,LI,1598930.58616,87391,FALSE
2025-09-01,2025,9,KOSOVO,BK,18873.1474,1279,FALSE
2025-09-01,2025,9,LATVIA,EV,39044.44674,2908,FALSE
2025-09-01,2025,9,LITHUANIA,EY,41963.13416,3071,FALSE
2025-09-01,2025,9,LUXEMBOURG,EL,167853.25476,3289,FALSE
2025-09-01,2025,9,MALTA,LM,55377.46634,3540,FALSE
2025-09-01,2025,9,"MOLDOVA, REPUBLIC OF",LU,36180.822,2330,FALSE
