YEAR,MONTH_NUM,MONTH_MON,APT_ICAO,APT_NAME,STATE_NAME,NBR_FLIGHTS_DESCENT,TOT_DIST_LEVEL_NM_DESCENT,TOT_DIST_LVL_NM_DESC_BLW_70,TOT_TIME_LEVEL_SECONDS_DESCENT,TOT_TIME_LEVEL_SEC_DESC_BLW_70,MEDIAN_CDO_ALT,NBR_CDO_FLIGHTS,NBR_CDO_FLIGHTS_BELOW_7000,TOT_DELTA_CO2_KG_DESCENT,TOT_DELTA_CO2_KG_DESC_BLW_70,NBR_FLIGHTS_CLIMB,TOT_DIST_LEVEL_NM_CLIMB,TOT_DIST_LVL_NM_CLIMB_BLW_100,TOT_TIME_LEVEL_SECONDS_CLIMB,TOT_TIME_LVL_SEC_CLIMB_BLW_100,MEDIAN_CCO_ALT,NBR_CCO_FLIGHTS,NBR_CCO_FLIGHTS_BELOW_10000,TOT_DELTA_CO2_KG_CLIMB,TOT_DELTA_CO2_KG_CLIMB_BLW_100,AIRPORT_NAME
2024,1,JAN,EDHI,Hamburg Finkenwerder,Germany,126,1560.629927152461,976.770406212692,26280,18640,2966.3362561951963,9,12,23615.924752,16771.329408,136,2716.85318748743,21.01164891388324,22320,400,33000,93,125,6007.157006999999,429.61456000000004,Hamburg Finkenwerder (EDHI)
2024,1,JAN,EDHK,Kiel Holtenau,Germany,27,383.328168738212,292.765220225706,12280,11220,2145.108695652174,4,5,464.5616675,257.97648250000003,20,16.87687064005384,8.75720673354254,360,280,23000,18,19,10.058079,3.583125,Kiel Holtenau (EDHK)
2024,1,JAN,EDHL,Lubeck Blankensee,Germany,38,670.062880495709,602.419716160442,17260,16280,2945.4576502732243,3,4,71.44259300000004,-11.80859399999996,30,18.982338329114558,14.29368520819808,580,540,22500,25,26,7.79205,8.3328,Lubeck Blankensee (EDHL)
2024,1,JAN,EDJA,Memmingen,Germany,774,14410.0000135472,1984.794049142924,175354,45914,9313.519345238095,78,448,94317.4475034,21128.6062942,771,5038.846000532994,394.07837134498504,46760,9220,35000,451,734,6453.2592352,987.7158695,Memmingen (EDJA)
2024,1,JAN,EDKA,Aachen,Germany,3,24.48394292391043,5.7005275643522895,560,140,6037.704918032788,1,2,51.967649999999985,0.9743999999999997,,,,,,,,,,,Aachen (EDKA)
2024,1,JAN,EDKV,Dahlemer Binz,Germany,1,0,0,0,0,12000,1,1,0,0,,,,,,,,,,,Dahlemer Binz (EDKV)
2024,1,JAN,EDLA,Arnsberg Menden,Germany,11,127.618655581006,3.24328152108487,1400,60,16035,5,10,169.845928,-1.2815249999999998,8,65.99802508295053,0,740,0,23493.421052631602,4,8,21.00947599999999,0,Arnsberg Menden (EDLA)
2024,1,JAN,EDLB,Borkenberge,Germany,3,42.26800641753018,42.26800641753018,1500,1500,3701.0989010989,0,0,4.7974499999999995,4.7974499999999995,1,0,0,0,0,6000,1,1,0,0,Borkenberge (EDLB)
2024,1,JAN,EDLD,Dinslaken,Germany,13,65.8142140002169,7.27540157443144,1100,180,20000,6,10,18.079278,4.275338,11,38.66311266423278,0,500,0,23000,8,11,-0.9327420000000046,0,Dinslaken (EDLD)
2024,1,JAN,EDLE,Essen Mulheim,Germany,85,417.075244111978,324.871137452647,13580,12280,3574.707259953162,37,39,104.59901500000001,67.06675849999999,8,14.15620885389299,0,200,0,20305.3191489362,6,8,8.231465,0,Essen Mulheim (EDLE)
2024,1,JAN,EDLI,Bielefeld,Germany,29,124.69050279525699,110.586589091547,3440,3300,12000,21,22,39.08311,27.479554999999998,13,0,0,0,0,23000,13,13,0,0,Bielefeld (EDLI)
2024,1,JAN,EDLM,Marl Loemuhle,Germany,3,5.826786604324399,5.826786604324399,180,180,20000,2,2,0.022575000000000702,0.022575000000000702,1,0,0,0,0,29000,1,1,0,0,Marl Loemuhle (EDLM)
2024,1,JAN,EDLN,Moenchengladbach,Germany,194,2623.9428581478915,1460.70295537869,49177,35897,2800.4098360655735,47,66,1763.467405,711.3456662,205,846.659012041449,306.22401552068897,13986,7288,11000,158,179,353.1455067,40.60455400000002,Moenchengladbach (EDLN)
2024,1,JAN,EDLP,Paderborn Lippstadt,Germany,203,1872.060441630482,1066.740934283574,35440,27380,3075.4098360655735,32,50,6011.15734375,4248.196475249999,205,639.943444813484,184.201288142066,8940,4980,31000,154,187,691.3966581000001,60.450735999999985,Paderborn Lippstadt (EDLP)
2024,1,JAN,EDLS,Stadtlohn Vreden,Germany,4,5.49538742719353,5.49538742719353,120,120,4950.860655737705,2,2,0,0,2,0,0,0,0,21000,2,2,0,0,Stadtlohn Vreden (EDLS)
2024,1,JAN,EDLT,Munster Telgte,Germany,1,2.6968334336532402,2.6968334336532402,60,60,6119.781420765027,0,0,0.1469999999999998,0.1469999999999998,,,,,,,,,,,Munster Telgte (EDLT)
2024,1,JAN,EDLV,Weeze,Germany,365,5793.991990071325,715.17898157813,64060,18360,23000,90,211,21830.8299506,3817.8741711,359,2184.3508931287784,108.24513673887401,19880,2380,36035,222,335,4122.691574999999,386.5015255,Weeze (EDLV)
